id,feature_id,epic_id,initiative_id,title,phase,points,source_refs
"I02-E06-F03-S3","I02-E06-F03","I02-E06","I02","Store Rotation signal","MVP","3","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I02-E06-F04-S1","I02-E06-F04","I02-E06","I02","Build Sector regime","MVP","5","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I02-E06-F04-S2","I02-E06-F04","I02-E06","I02","Store Sector regime","Phase 2","8","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I02-E06-F04-S3","I02-E06-F04","I02-E06","I02","Validate Sector regime","Phase 2","13","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I03-E01-F01-S1","I03-E01-F01","I03-E01","I03","Store SMA","Phase 3","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F01-S2","I03-E01-F01","I03-E01","I03","Validate SMA","Institutional","5","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F01-S3","I03-E01-F01","I03-E01","I03","Expose SMA","Future","8","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F02-S1","I03-E01-F02","I03-E01","I03","Validate EMA","MVP","13","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F02-S2","I03-E01-F02","I03-E01","I03","Expose EMA","MVP","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F02-S3","I03-E01-F02","I03-E01","I03","Monitor EMA","Phase 2","5","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F03-S1","I03-E01-F03","I03-E01","I03","Expose WMA","Phase 2","8","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F03-S2","I03-E01-F03","I03-E01","I03","Monitor WMA","Phase 3","13","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F03-S3","I03-E01-F03","I03-E01","I03","Backtest WMA","Institutional","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F04-S1","I03-E01-F04","I03-E01","I03","Monitor VWAP","Future","5","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F04-S2","I03-E01-F04","I03-E01","I03","Backtest VWAP","MVP","8","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F04-S3","I03-E01-F04","I03-E01","I03","Document VWAP","MVP","13","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F05-S1","I03-E01-F05","I03-E01","I03","Backtest MACD","Phase 2","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F05-S2","I03-E01-F05","I03-E01","I03","Document MACD","Phase 2","5","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F05-S3","I03-E01-F05","I03-E01","I03","Secure MACD","Phase 3","8","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F06-S1","I03-E01-F06","I03-E01","I03","Document RSI","Institutional","13","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F06-S2","I03-E01-F06","I03-E01","I03","Secure RSI","Future","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F06-S3","I03-E01-F06","I03-E01","I03","Build RSI","MVP","5","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E02-F01-S1","I03-E02-F01","I03-E02","I03","Secure OBV","MVP","8","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E02-F01-S2","I03-E02-F01","I03-E02","I03","Build OBV","Phase 2","13","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E02-F01-S3","I03-E02-F01","I03-E02","I03","Store OBV","Phase 2","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E02-F02-S1","I03-E02-F02","I03-E02","I03","Build Accumulation Distribution","Phase 3","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I03-E02-F02-S2","I03-E02-F02","I03-E02","I03","Store Accumulation Distribution","Institutional","8","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I03-E02-F02-S3","I03-E02-F02","I03-E02","I03","Validate Accumulation Distribution","Future","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I03-E02-F03-S1","I03-E02-F03","I03-E02","I03","Store PVT","MVP","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E02-F03-S2","I03-E02-F03","I03-E02","I03","Validate PVT","MVP","5","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E02-F03-S3","I03-E02-F03","I03-E02","I03","Expose PVT","Phase 2","8","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E02-F04-S1","I03-E02-F04","I03-E02","I03","Validate MFI","Phase 2","13","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E02-F04-S2","I03-E02-F04","I03-E02","I03","Expose MFI","Phase 3","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E02-F04-S3","I03-E02-F04","I03-E02","I03","Monitor MFI","Institutional","5","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E03-F01-S1","I03-E03-F01","I03-E03","I03","Expose Dow primary trend","Future","8","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E03-F01-S2","I03-E03-F01","I03-E03","I03","Monitor Dow primary trend","MVP","13","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E03-F01-S3","I03-E03-F01","I03-E03","I03","Backtest Dow primary trend","MVP","3","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E03-F02-S1","I03-E03-F02","I03-E03","I03","Monitor Dow secondary trend","Phase 2","5","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E03-F02-S2","I03-E03-F02","I03-E03","I03","Backtest Dow secondary trend","Phase 2","8","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E03-F02-S3","I03-E03-F02","I03-E03","I03","Document Dow secondary trend","Phase 3","13","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E03-F03-S1","I03-E03-F03","I03-E03","I03","Backtest Dow minor trend","Institutional","3","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E03-F03-S2","I03-E03-F03","I03-E03","I03","Document Dow minor trend","Future","5","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E03-F03-S3","I03-E03-F03","I03-E03","I03","Secure Dow minor trend","MVP","8","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E03-F04-S1","I03-E03-F04","I03-E03","I03","Document Elliott wave counter","MVP","13","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E03-F04-S2","I03-E03-F04","I03-E03","I03","Secure Elliott wave counter","Phase 2","3","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E03-F04-S3","I03-E03-F04","I03-E03","I03","Build Elliott wave counter","Phase 2","5","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04-F01-S1","I03-E04-F01","I03-E04","I03","Secure Doji","Phase 3","8","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04-F01-S2","I03-E04-F01","I03-E04","I03","Build Doji","Institutional","13","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04-F01-S3","I03-E04-F01","I03-E04","I03","Store Doji","Future","3","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04-F02-S1","I03-E04-F02","I03-E04","I03","Build Hammer","MVP","5","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04-F02-S2","I03-E04-F02","I03-E04","I03","Store Hammer","MVP","8","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04-F02-S3","I03-E04-F02","I03-E04","I03","Validate Hammer","Phase 2","13","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04-F03-S1","I03-E04-F03","I03-E04","I03","Store Engulfing","Phase 2","3","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04-F03-S2","I03-E04-F03","I03-E04","I03","Validate Engulfing","Phase 3","5","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04-F03-S3","I03-E04-F03","I03-E04","I03","Expose Engulfing","Institutional","8","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04-F04-S1","I03-E04-F04","I03-E04","I03","Validate Morning evening star","Future","13","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04-F04-S2","I03-E04-F04","I03-E04","I03","Expose Morning evening star","MVP","3","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04-F04-S3","I03-E04-F04","I03-E04","I03","Monitor Morning evening star","MVP","5","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E05-F01-S1","I03-E05-F01","I03-E05","I03","Expose ADX","Phase 2","8","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E05-F01-S2","I03-E05-F01","I03-E05","I03","Monitor ADX","Phase 2","13","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E05-F01-S3","I03-E05-F01","I03-E05","I03","Backtest ADX","Phase 3","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E05-F02-S1","I03-E05-F02","I03-E05","I03","Monitor ATR","Institutional","5","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E05-F02-S2","I03-E05-F02","I03-E05","I03","Backtest ATR","Future","8","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E05-F02-S3","I03-E05-F02","I03-E05","I03","Document ATR","MVP","13","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E05-F03-S1","I03-E05-F03","I03-E05","I03","Backtest Bollinger Bands","MVP","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E05-F03-S2","I03-E05-F03","I03-E05","I03","Document Bollinger Bands","Phase 2","5","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E05-F03-S3","I03-E05-F03","I03-E05","I03","Secure Bollinger Bands","Phase 2","8","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E05-F04-S1","I03-E05-F04","I03-E05","I03","Document Parabolic SAR","Phase 3","13","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E05-F04-S2","I03-E05-F04","I03-E05","I03","Secure Parabolic SAR","Institutional","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E05-F04-S3","I03-E05-F04","I03-E05","I03","Build Parabolic SAR","Future","5","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E06-F01-S1","I03-E06-F01","I03-E06","I03","Secure Indicator comparison","MVP","8","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E06-F01-S2","I03-E06-F01","I03-E06","I03","Build Indicator comparison","MVP","13","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E06-F01-S3","I03-E06-F01","I03-E06","I03","Store Indicator comparison","Phase 2","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E06-F02-S1","I03-E06-F02","I03-E06","I03","Build Signal overlay","Phase 2","5","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E06-F02-S2","I03-E06-F02","I03-E06","I03","Store Signal overlay","Phase 3","8","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E06-F02-S3","I03-E06-F02","I03-E06","I03","Validate Signal overlay","Institutional","13","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E06-F03-S1","I03-E06-F03","I03-E06","I03","Store Divergence view","Future","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E06-F03-S2","I03-E06-F03","I03-E06","I03","Validate Divergence view","MVP","5","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E06-F03-S3","I03-E06-F03","I03-E06","I03","Expose Divergence view","MVP","8","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E06-F04-S1","I03-E06-F04","I03-E06","I03","Validate Parameter lab","Phase 2","13","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E06-F04-S2","I03-E06-F04","I03-E06","I03","Expose Parameter lab","Phase 2","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E06-F04-S3","I03-E06-F04","I03-E06","I03","Monitor Parameter lab","Phase 3","5","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E07-F01-S1","I03-E07-F01","I03-E07","I03","Expose TradingView parity","Institutional","8","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I03-E07-F01-S2","I03-E07-F01","I03-E07","I03","Monitor TradingView parity","Future","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I03-E07-F01-S3","I03-E07-F01","I03-E07","I03","Backtest TradingView parity","MVP","3","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I03-E07-F02-S1","I03-E07-F02","I03-E07","I03","Monitor Fixture library","MVP","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I03-E07-F02-S2","I03-E07-F02","I03-E07","I03","Backtest Fixture library","Phase 2","8","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I03-E07-F02-S3","I03-E07-F02","I03-E07","I03","Document Fixture library","Phase 2","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I03-E07-F03-S1","I03-E07-F03","I03-E07","I03","Backtest Tolerance reports","Phase 3","3","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I03-E07-F03-S2","I03-E07-F03","I03-E07","I03","Document Tolerance reports","Institutional","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I03-E07-F03-S3","I03-E07-F03","I03-E07","I03","Secure Tolerance reports","Future","8","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I03-E07-F04-S1","I03-E07-F04","I03-E07","I03","Document Indicator audit","MVP","13","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E07-F04-S2","I03-E07-F04","I03-E07","I03","Secure Indicator audit","MVP","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E07-F04-S3","I03-E07-F04","I03-E07","I03","Build Indicator audit","Phase 2","5","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I04-E01-F01-S1","I04-E01-F01","I04-E01","I04","Secure Chain ingestion","Phase 2","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E01-F01-S2","I04-E01-F01","I04-E01","I04","Build Chain ingestion","Phase 3","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E01-F01-S3","I04-E01-F01","I04-E01","I04","Store Chain ingestion","Institutional","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E01-F02-S1","I04-E01-F02","I04-E01","I04","Build OI buildup","Future","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E01-F02-S2","I04-E01-F02","I04-E01","I04","Store OI buildup","MVP","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E01-F02-S3","I04-E01-F02","I04-E01","I04","Validate OI buildup","MVP","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E01-F03-S1","I04-E01-F03","I04-E01","I04","Store PCR","Phase 2","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E01-F03-S2","I04-E01-F03","I04-E01","I04","Validate PCR","Phase 2","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E01-F03-S3","I04-E01-F03","I04-E01","I04","Expose PCR","Phase 3","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E01-F04-S1","I04-E01-F04","I04-E01","I04","Validate IV rank","Institutional","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E01-F04-S2","I04-E01-F04","I04-E01","I04","Expose IV rank","Future","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E01-F04-S3","I04-E01-F04","I04-E01","I04","Monitor IV rank","MVP","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F01-S1","I04-E02-F01","I04-E02","I04","Expose Delta","MVP","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F01-S2","I04-E02-F01","I04-E02","I04","Monitor Delta","Phase 2","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F01-S3","I04-E02-F01","I04-E02","I04","Backtest Delta","Phase 2","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F02-S1","I04-E02-F02","I04-E02","I04","Monitor Gamma","Phase 3","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F02-S2","I04-E02-F02","I04-E02","I04","Backtest Gamma","Institutional","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F02-S3","I04-E02-F02","I04-E02","I04","Document Gamma","Future","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F03-S1","I04-E02-F03","I04-E02","I04","Backtest Theta","MVP","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F03-S2","I04-E02-F03","I04-E02","I04","Document Theta","MVP","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F03-S3","I04-E02-F03","I04-E02","I04","Secure Theta","Phase 2","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F04-S1","I04-E02-F04","I04-E02","I04","Document Vega","Phase 2","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F04-S2","I04-E02-F04","I04-E02","I04","Secure Vega","Phase 3","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F04-S3","I04-E02-F04","I04-E02","I04","Build Vega","Institutional","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F05-S1","I04-E02-F05","I04-E02","I04","Secure Rho","Future","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F05-S2","I04-E02-F05","I04-E02","I04","Build Rho","MVP","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F05-S3","I04-E02-F05","I04-E02","I04","Store Rho","MVP","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03-F01-S1","I04-E03-F01","I04-E03","I04","Build Covered call","Phase 2","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03-F01-S2","I04-E03-F01","I04-E03","I04","Store Covered call","Phase 2","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03-F01-S3","I04-E03-F01","I04-E03","I04","Validate Covered call","Phase 3","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03-F02-S1","I04-E03-F02","I04-E03","I04","Store Protective put","Institutional","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03-F02-S2","I04-E03-F02","I04-E03","I04","Validate Protective put","Future","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03-F02-S3","I04-E03-F02","I04-E03","I04","Expose Protective put","MVP","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03-F03-S1","I04-E03-F03","I04-E03","I04","Validate Vertical spreads","MVP","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03-F03-S2","I04-E03-F03","I04-E03","I04","Expose Vertical spreads","Phase 2","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03-F03-S3","I04-E03-F03","I04-E03","I04","Monitor Vertical spreads","Phase 2","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03-F04-S1","I04-E03-F04","I04-E03","I04","Expose Iron condor","Phase 3","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03-F04-S2","I04-E03-F04","I04-E03","I04","Monitor Iron condor","Institutional","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03-F04-S3","I04-E03-F04","I04-E03","I04","Backtest Iron condor","Future","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04-F01-S1","I04-E04-F01","I04-E04","I04","Monitor Contract master","MVP","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04-F01-S2","I04-E04-F01","I04-E04","I04","Backtest Contract master","MVP","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04-F01-S3","I04-E04-F01","I04-E04","I04","Document Contract master","Phase 2","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04-F02-S1","I04-E04-F02","I04-E04","I04","Backtest Basis tracker","Phase 2","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04-F02-S2","I04-E04-F02","I04-E04","I04","Document Basis tracker","Phase 3","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04-F02-S3","I04-E04-F02","I04-E04","I04","Secure Basis tracker","Institutional","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04-F03-S1","I04-E04-F03","I04-E04","I04","Document Rollover","Future","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04-F03-S2","I04-E04-F03","I04-E04","I04","Secure Rollover","MVP","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04-F03-S3","I04-E04-F03","I04-E04","I04","Build Rollover","MVP","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04-F04-S1","I04-E04-F04","I04-E04","I04","Secure Cost of carry","Phase 2","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04-F04-S2","I04-E04-F04","I04-E04","I04","Build Cost of carry","Phase 2","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04-F04-S3","I04-E04-F04","I04-E04","I04","Store Cost of carry","Phase 3","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05-F01-S1","I04-E05-F01","I04-E05","I04","Build SPAN margin placeholder","Institutional","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05-F01-S2","I04-E05-F01","I04-E05","I04","Store SPAN margin placeholder","Future","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05-F01-S3","I04-E05-F01","I04-E05","I04","Validate SPAN margin placeholder","MVP","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05-F02-S1","I04-E05-F02","I04-E05","I04","Store Expiry calendar","MVP","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05-F02-S2","I04-E05-F02","I04-E05","I04","Validate Expiry calendar","Phase 2","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05-F02-S3","I04-E05-F02","I04-E05","I04","Expose Expiry calendar","Phase 2","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05-F03-S1","I04-E05-F03","I04-E05","I04","Validate Assignment risk","Phase 3","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05-F03-S2","I04-E05-F03","I04-E05","I04","Expose Assignment risk","Institutional","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05-F03-S3","I04-E05-F03","I04-E05","I04","Monitor Assignment risk","Future","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05-F04-S1","I04-E05-F04","I04-E05","I04","Expose MTM risk","MVP","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05-F04-S2","I04-E05-F04","I04-E05","I04","Monitor MTM risk","MVP","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05-F04-S3","I04-E05-F04","I04-E05","I04","Backtest MTM risk","Phase 2","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E06-F01-S1","I04-E06-F01","I04-E06","I04","Monitor Payoff engine","Phase 2","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E06-F01-S2","I04-E06-F01","I04-E06","I04","Backtest Payoff engine","Phase 3","8","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E06-F01-S3","I04-E06-F01","I04-E06","I04","Document Payoff engine","Institutional","13","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E06-F02-S1","I04-E06-F02","I04-E06","I04","Backtest Options replay","Future","3","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E06-F02-S2","I04-E06-F02","I04-E06","I04","Document Options replay","MVP","5","Module-5_Options-Theory-for-Professional-Trading.pdf"
